message_id,message_text,toxicity_label,toxicity_score,confidence,crime_type,severity_level,legal_section,matched_keywords,scam_subtype
1,"Hey, can you send me the notes from yesterday’s class?",Safe,2,96,None,None,None,,none
2,Please share the assignment file when you get time.,Safe,3,95,None,None,None,,none
3,You are annoying and wasting my time.,Mild Toxicity,15,72,Online Harassment,Low,IPC 509,annoying,none
4,"Stop messaging me, you are stupid.",Mild Toxicity,18,75,Online Harassment,Low,IPC 509,stupid,none
5,"You are dumb and useless, don’t text me again.",Harassment,35,82,Online Harassment,Medium,IPC 509,"dumb, useless",none
6,"Everyone hates you, just disappear.",Harassment,40,84,Online Harassment,Medium,IPC 509,"hates, disappear",none
7,Send me your bank OTP immediately.,High-Risk Threat,65,91,Account Hacking,High,IT Act 66,"otp, bank",otp_scam
8,Give me your login details or your account will be hacked.,High-Risk Threat,72,93,Account Hacking,High,IT Act 66,"login, hacked",bank_impersonation
9,Send money or I will leak your private photos.,High-Risk Threat,85,96,Blackmail / Extortion,Critical,IPC 384,"leak, photos, money",blackmail_extortion
10,Do what I say or your videos will be made public.,High-Risk Threat,80,95,Blackmail / Extortion,Critical,IPC 384,"public, videos",blackmail_extortion
11,"I know where you live, I will kill you.",High-Risk Threat,95,98,Criminal Threat,Critical,IPC 506,"kill, threaten",none
12,"You will regret this, I’m coming for you.",High-Risk Threat,88,97,Criminal Threat,Critical,IPC 506,"regret, coming",none
13,"Your account has suspicious activity, click this link now.",High-Risk Threat,45,86,Financial Fraud,High,IT Act 66,"account, suspicious, link",phishing
14,Urgent! Verify your bank details to avoid suspension.,High-Risk Threat,50,88,Financial Fraud,High,IT Act 66,"bank, verify",bank_impersonation
15,Can you please stop calling me repeatedly?,Safe,5,94,None,None,None,,none
16,"I am not interested, please don’t message again.",Safe,4,93,None,None,None,,none
17,You are really irritating and annoying.,Mild Toxicity,14,71,Online Harassment,Low,IPC 509,"irritating, annoying",none
18,Why are you so stupid all the time?,Mild Toxicity,20,76,Online Harassment,Low,IPC 509,stupid,none
19,"Nobody cares about you, just shut up.",Harassment,32,81,Online Harassment,Medium,IPC 509,"nobody, shut up",none
20,You are worthless and a complete failure.,Harassment,38,83,Online Harassment,Medium,IPC 509,"worthless, failure",none
21,Keep quiet or you will face consequences.,High-Risk Threat,45,86,Criminal Threat,High,IPC 506,consequences,none
22,"If you don’t listen, things will get bad for you.",High-Risk Threat,48,87,Criminal Threat,High,IPC 506,"bad, listen",none
23,Share your OTP now or your account will be locked.,High-Risk Threat,70,92,Account Hacking,High,IT Act 66,"otp, account",otp_scam
24,Your bank account will be suspended if you don’t verify.,High-Risk Threat,75,94,Financial Fraud,High,IT Act 66,"bank, suspended, verify",bank_impersonation
25,"Send ₹10,000 or your photos will go viral.",High-Risk Threat,88,97,Blackmail / Extortion,Critical,IPC 384,"send money, photos, viral",blackmail_extortion
26,"I have your private videos, pay me or else.",High-Risk Threat,90,98,Blackmail / Extortion,Critical,IPC 384,"private videos, pay",blackmail_extortion
27,I know your address and your family details.,High-Risk Threat,85,96,Criminal Threat,Critical,IPC 506,"address, family",none
28,You think you can escape me? I will find you.,High-Risk Threat,92,98,Criminal Threat,Critical,IPC 506,"escape, find",none
29,Click this link to secure your compromised account.,High-Risk Threat,42,85,Financial Fraud,High,IT Act 66,"click, link, account",phishing
30,Urgent security alert: update password immediately.,High-Risk Threat,47,87,Financial Fraud,High,IT Act 66,"urgent, password",phishing
31,"Stop acting smart, you are nothing.",Harassment,34,82,Online Harassment,Medium,IPC 509,"nothing, acting smart",none
32,"You are a joke, everyone laughs at you.",Harassment,36,83,Online Harassment,Medium,IPC 509,"joke, laughs",none
33,Give me your UPI pin or face serious trouble.,High-Risk Threat,78,95,Financial Fraud,Critical,IT Act 66,"upi, pin, trouble",upi_fraud
34,Transfer money fast or I will ruin your life.,High-Risk Threat,89,97,Blackmail / Extortion,Critical,IPC 384,"transfer, ruin",blackmail_extortion
35,"This is your final warning, comply now.",High-Risk Threat,80,96,Criminal Threat,High,IPC 506,final warning,none
36,You better watch your back.,High-Risk Threat,83,96,Criminal Threat,High,IPC 506,watch your back,none
37,Why are you so useless at everything?,Harassment,37,84,Online Harassment,Medium,IPC 509,useless,none
38,"Stop bothering me, you creep.",Harassment,33,82,Online Harassment,Medium,IPC 509,creep,none
39,"Your email has been compromised, reset credentials.",High-Risk Threat,44,86,Financial Fraud,High,IT Act 66,"email, compromised",phishing
40,I will destroy your reputation online.,High-Risk Threat,86,97,Blackmail / Extortion,Critical,IPC 384,"destroy, reputation",blackmail_extortion
41,"Hey, are you coming to the meeting today?",Safe,3,95,None,None,None,,none
42,Please let me know once you receive the package.,Safe,4,94,None,None,None,,none
43,"I already told you, stop texting me politely.",Safe,6,93,None,None,None,,none
44,You are getting on my nerves.,Mild Toxicity,13,70,Online Harassment,Low,IPC 509,nerves,none
45,Why are you always so annoying?,Mild Toxicity,16,73,Online Harassment,Low,IPC 509,annoying,none
