message_text,actual_label,predicted_label,toxicity_score,confidence
"Hey, can you send me the notes from yesterday’s class?",Safe,Safe,2,96
Please share the assignment file when you get time.,Safe,Safe,3,95
You are annoying and wasting my time.,Mild Toxicity,Mild Toxicity,15,72
"Stop messaging me, you are stupid.",Mild Toxicity,Mild Toxicity,18,75
"You are dumb and useless, don’t text me again.",Harassment,Harassment,35,82
"Everyone hates you, just disappear.",Harassment,Harassment,40,84
Send me your bank OTP immediately.,High-Risk Threat,High-Risk Threat,65,91
Give me your login details or your account will be hacked.,High-Risk Threat,High-Risk Threat,72,93
Send money or I will leak your private photos.,High-Risk Threat,High-Risk Threat,85,96
Do what I say or your videos will be made public.,High-Risk Threat,High-Risk Threat,80,95
"I know where you live, I will kill you.",High-Risk Threat,High-Risk Threat,95,98
"You will regret this, I’m coming for you.",High-Risk Threat,High-Risk Threat,88,97
"Your account has suspicious activity, click this link now.",High-Risk Threat,Harassment,45,86
Urgent! Verify your bank details to avoid suspension.,High-Risk Threat,High-Risk Threat,50,88
Can you please stop calling me repeatedly?,Safe,Safe,5,94
"I am not interested, please don’t message again.",Safe,Safe,4,93
You are really irritating and annoying.,Mild Toxicity,Mild Toxicity,14,71
Why are you so stupid all the time?,Mild Toxicity,Mild Toxicity,20,76
"Nobody cares about you, just shut up.",Harassment,Harassment,32,81
You are worthless and a complete failure.,Harassment,Harassment,38,83
Keep quiet or you will face consequences.,High-Risk Threat,Harassment,45,86
"If you don’t listen, things will get bad for you.",High-Risk Threat,Harassment,48,87
Share your OTP now or your account will be locked.,High-Risk Threat,High-Risk Threat,70,92
Your bank account will be suspended if you don’t verify.,High-Risk Threat,High-Risk Threat,75,94
"Send ₹10,000 or your photos will go viral.",High-Risk Threat,High-Risk Threat,88,97
"I have your private videos, pay me or else.",High-Risk Threat,High-Risk Threat,90,98
I know your address and your family details.,High-Risk Threat,High-Risk Threat,85,96
You think you can escape me? I will find you.,High-Risk Threat,High-Risk Threat,92,98
Click this link to secure your compromised account.,High-Risk Threat,Harassment,42,85
Urgent security alert: update password immediately.,High-Risk Threat,Harassment,47,87
"Stop acting smart, you are nothing.",Harassment,Harassment,34,82
"You are a joke, everyone laughs at you.",Harassment,Harassment,36,83
Give me your UPI pin or face serious trouble.,High-Risk Threat,High-Risk Threat,78,95
Transfer money fast or I will ruin your life.,High-Risk Threat,High-Risk Threat,89,97
"This is your final warning, comply now.",High-Risk Threat,High-Risk Threat,80,96
You better watch your back.,High-Risk Threat,High-Risk Threat,83,96
Why are you so useless at everything?,Harassment,Harassment,37,84
"Stop bothering me, you creep.",Harassment,Harassment,33,82
"Your email has been compromised, reset credentials.",High-Risk Threat,Harassment,44,86
I will destroy your reputation online.,High-Risk Threat,High-Risk Threat,86,97
"Hey, are you coming to the meeting today?",Safe,Safe,3,95
Please let me know once you receive the package.,Safe,Safe,4,94
"I already told you, stop texting me politely.",Safe,Safe,6,93
You are getting on my nerves.,Mild Toxicity,Mild Toxicity,13,70
Why are you always so annoying?,Mild Toxicity,Mild Toxicity,16,73
Stop being so dumb and careless.,Mild Toxicity,Mild Toxicity,19,75
You are absolutely useless at this job.,Harassment,Harassment,34,82
"No one likes you, just stay quiet.",Harassment,Harassment,36,83
You better stop or you’ll regret it.,High-Risk Threat,Harassment,42,86
This won’t end well if you keep ignoring me.,High-Risk Threat,Harassment,44,87
Share your OTP quickly to avoid service disruption.,High-Risk Threat,High-Risk Threat,68,92
Your card will be blocked if you don’t act now.,High-Risk Threat,High-Risk Threat,72,94
Send the money now or I will leak everything.,High-Risk Threat,High-Risk Threat,85,97
I have screenshots that can destroy you.,High-Risk Threat,High-Risk Threat,88,97
I know where you study and where you live.,High-Risk Threat,High-Risk Threat,90,98
You cannot hide from me for long.,High-Risk Threat,High-Risk Threat,92,98
Click here to secure your wallet immediately.,High-Risk Threat,Harassment,41,85
"Your account access is limited, verify identity.",High-Risk Threat,Harassment,43,86
You are a complete idiot.,Harassment,Harassment,33,81
Everyone laughs behind your back.,Harassment,Harassment,35,83
Provide UPI pin to continue transaction.,High-Risk Threat,High-Risk Threat,76,95
Transfer funds now to avoid legal action.,High-Risk Threat,High-Risk Threat,82,96
Your secrets will be public if you disobey.,High-Risk Threat,High-Risk Threat,87,97
I will make sure everyone knows your truth.,High-Risk Threat,High-Risk Threat,86,97
You should be ashamed of yourself.,Mild Toxicity,Mild Toxicity,18,74
Stop acting like a clown.,Harassment,Harassment,31,80
Final notice: update bank details immediately.,High-Risk Threat,High-Risk Threat,79,96
Fail to comply and face serious consequences.,High-Risk Threat,High-Risk Threat,84,96
I will come after you if you report this.,High-Risk Threat,High-Risk Threat,91,98
You think police can save you?,High-Risk Threat,High-Risk Threat,89,97
Please stop spreading false rumors.,Safe,Safe,5,94
Let me know if you need help with the project.,Safe,Safe,3,96
You are such a disappointment.,Harassment,Harassment,34,82
Nobody will ever respect you.,Harassment,Harassment,38,84
Urgent alert: suspicious login detected.,High-Risk Threat,Harassment,46,87
Verify your account to avoid permanent ban.,High-Risk Threat,Harassment,48,88
Pay now or face the consequences.,High-Risk Threat,High-Risk Threat,83,96
